FLIGHTID,P_AIRCRAFTTYPE,R_ACODE,S_DEPTIME,S_ARRTIME,P_DEPTIME,P_ARRTIME,R_DEPAP,R_DEPTIME,entry_timestamp,entry_lon,entry_lat,entry_height,entry_time_gap,Time_of_Entry,cluster_closed
AAR331,A333,4125.0,202508010720,202508010930,202508010720,202508010848,RKSI,202508010752.0,2025-08-01 08:57:00,117.924244,38.628429,539.0,61.0,28.0,4.0
AAR333,A21N,4167.0,202508011150,202508011400,202508011150,202508011320,RKSI,202508011209.0,2025-08-01 13:20:00,118.009509,38.596519,539.0,60.0,35.0,4.0
AAR335,A21N,4105.0,202508011350,202508011550,202508011350,202508011521,RKSI,202508011446.0,2025-08-01 15:50:00,117.952403,38.61869,509.0,60.0,30.0,4.0
AAR3355,A321,4153.0,202508010735,202508010950,202508010735,202508010907,RKSS,202508010809.0,2025-08-01 09:16:00,117.928995,38.626519,539.0,60.0,30.0,4.0
ACA029,B789,,202508010240,202508011600,202508010440,202508011540,CYVR,202508010523.0,2025-08-01 16:13:00,117.992569,38.604028,540.4,60.0,30.0,4.0
AFR202,B789,,202508010540,202508011555,202508010440,202508011422,LFPG,202508010508.0,2025-08-01 14:54:00,116.406326,40.423978,359.94,62.0,22.0,2.0
AHK768,A333,5755.0,202508010325,202508010635,202508010325,202508010605,VHHH,202508010358.0,2025-08-01 06:12:00,115.833407,38.685222,511.13,60.0,22.0,3.0
AHY067,B763,,202508011650,202508020015,202508012030,202508020300,UBBB,202508012040.0,2025-08-02 03:00:00,116.411704,40.423741,360.67,60.0,18.0,2.0
AMU002,A321,3362.0,202508011140,202508011510,202508011135,202508011427,VMMC,202508011218.0,2025-08-01 14:38:00,115.86627,38.719281,508.95,61.0,22.0,3.0
AMU006,A320,3360.0,202508010810,202508011125,202508010810,202508011102,VMMC,202508010825.0,2025-08-01 10:45:00,115.852407,38.706407,509.0,60.0,23.0,3.0
AMU008,A321,3370.0,202508011915,202508012230,202508011940,202508012233,VMMC,202508012006.0,2025-08-01 22:27:00,115.876028,38.729014,478.95,61.0,22.0,3.0
AMU010,A321,3372.0,202508011520,202508011840,202508011520,202508011813,VMMC,202508011541.0,2025-08-01 17:57:00,115.811222,38.66663,509.0,60.0,24.0,3.0
ANA961,B77W,,202508010755,202508011200,202508010855,202508011152,RJTT,202508010950.0,2025-08-01 12:17:00,117.999444,38.600833,539.0,60.0,29.0,4.0
ANA963,B763,,202508011620,202508012015,202508011620,202508011927,RJTT,202508011657.0,2025-08-01 19:31:00,117.976352,38.609241,539.0,60.0,31.0,4.0
B8252,GLF4,3147.0,202508011330,202508011630,202508011330,202508011550,ZGSZ,202508011339.0,2025-08-01 15:50:00,115.852127,38.70515,539.0,61.0,20.0,3.0
CAL511,A21N,6254.0,202508010730,202508011055,202508010730,202508011018,RCTP,202508010744.0,2025-08-01 09:59:00,116.407136,38.65796,539.0,61.0,30.0,0.0
CAO1044,B77L,,202508010030,202508010955,202508010425,202508011336,EHAM,202508010435.0,2025-08-01 13:21:00,115.592354,40.432013,451.25,61.0,30.0,1.0
CAO3121,B77L,3112.0,202508010100,202508010405,202508010100,202508010325,ZGGG,202508010051.0,2025-08-01 02:52:00,115.829597,38.685019,539.0,60.0,20.0,3.0
CAO3137,B77L,4535.0,202508010100,202508010405,202508010400,202508010625,ZGGG,202508010348.0,2025-08-01 05:49:00,115.822319,38.67475,509.0,60.0,19.0,3.0
CAO3153,B77L,4213.0,202508010055,202508010405,202508011700,202508011924,ZGGG,202508011710.0,2025-08-01 19:14:00,115.881116,38.733898,509.0,61.0,20.0,3.0
CCA102,A321,5752.0,202508011255,202508011625,202508011255,202508011536,VHHH,202508011307.0,2025-08-01 15:30:00,115.828148,38.683278,479.0,60.0,31.0,0.0
CCA108,B738,5757.0,202508011030,202508011355,202508011030,202508011314,VHHH,202508011040.0,2025-08-01 13:00:00,115.841463,38.695509,509.0,60.0,22.0,3.0
CCA110,A321,5724.0,202508011745,202508012115,202508011745,202508012027,VHHH,202508011805.0,2025-08-01 20:29:00,115.823889,38.679167,539.0,60.0,21.0,3.0
CCA1110,AJ27,4147.0,202508010915,202508011040,202508010915,202508011007,ZBXH,202508010923.0,2025-08-01 10:00:00,116.980194,40.688269,354.2,60.0,24.0,2.0
CCA1112,AJ27,4140.0,202508010830,202508010955,202508010830,202508010927,ZBHH,202508010839.0,2025-08-01 09:21:00,116.401907,40.423741,359.07,60.0,24.0,2.0
CCA1118,AJ27,4150.0,202508011630,202508011815,202508011630,202508011741,ZBDS,202508011628.0,2025-08-01 17:24:00,116.448479,40.423361,360.0,61.0,17.0,2.0
CCA112,A333,5720.0,202508011435,202508011800,202508011435,202508011716,VHHH,202508011458.0,2025-08-01 17:18:00,115.850519,38.704745,539.0,60.0,21.0,3.0
CCA1120,B737,2376.0,202508012010,202508012130,202508012120,202508012216,ZBCZ,202508012118.0,2025-08-01 21:55:00,115.891083,38.742769,509.0,60.0,20.0,3.0
CCA1128,A321,4060.0,202508011410,202508011555,202508011410,202508011526,ZBYC,202508011415.0,2025-08-01 15:13:00,115.863296,38.715755,539.0,60.0,22.0,3.0
CCA1130,A21N,2542.0,202508012215,202508020030,202508012215,202508020006,ZBLA,202508012220.0,2025-08-01 23:46:00,117.031111,40.730278,390.0,56.0,24.0,2.0
CCA1132,A321,2543.0,202508011040,202508011255,202508011040,202508011230,ZBLA,202508011046.0,2025-08-01 12:22:00,117.024312,40.71893,390.0,61.0,22.0,2.0
CCA114,A321,,202508011915,202508012310,202508011915,202508012220,RJAA,202508011943.0,2025-08-01 22:25:00,117.917431,38.638764,539.0,60.0,27.0,4.0
CCA1140,A321,4061.0,202508011935,202508012130,202508012005,202508012121,ZBYC,202508012007.0,2025-08-01 21:05:00,115.882153,38.734528,509.0,60.0,22.0,3.0
CCA1144,B737,4061.0,202508011020,202508011210,202508011100,202508011228,ZBLL,202508011123.0,2025-08-01 12:33:00,116.479806,40.422861,360.0,60.0,20.0,2.0
CCA1146,A321,2375.0,202508010905,202508011020,202508010905,202508010952,ZBYN,202508010917.0,2025-08-01 09:47:00,115.826844,38.68577,539.0,61.0,22.0,3.0
CCA116,B738,5717.0,202508012015,202508012345,202508012015,202508012300,VHHH,202508012037.0,2025-08-01 22:59:00,115.807778,38.663056,539.0,60.0,22.0,3.0
CCA118,A321,5753.0,202508010830,202508011140,202508010830,202508011112,VHHH,202508010843.0,2025-08-01 11:06:00,115.817269,38.665139,539.0,66.0,25.0,3.0
CCA1202,A320,4051.0,202508011730,202508012015,202508011730,202508011916,ZLXY,202508011744.0,2025-08-01 19:13:00,116.508151,40.422564,359.03,61.0,17.0,2.0
CCA1204,B738,6216.0,202508011540,202508011815,202508011540,202508011741,ZLXN,202508011544.0,2025-08-01 17:27:00,116.394417,40.423954,359.03,60.0,18.0,2.0
CCA1206,B738,4026.0,202508010830,202508011045,202508010830,202508011019,ZLXY,202508010859.0,2025-08-01 10:35:00,116.427778,40.423722,359.6,60.0,17.0,2.0
CCA1208,B738,7043.0,202508011345,202508011610,202508011345,202508011535,ZLLL,202508011349.0,2025-08-01 15:27:00,116.457097,40.423109,359.03,62.0,19.0,2.0
CCA1212,B77W,7417.0,202508012200,202508020145,202508012200,202508020102,ZWWW,202508012205.0,2025-08-02 00:44:00,116.337347,40.396833,360.0,60.0,16.0,2.0
CCA1214,AJ27,6213.0,202508010945,202508011140,202508010945,202508011114,ZLIC,202508010942.0,2025-08-01 10:57:00,116.395487,40.423944,360.0,61.0,19.0,2.0
CCA1216,B38M,6231.0,202508011330,202508011900,202508011330,202508011745,ZWSH,202508011352.0,2025-08-01 17:53:00,116.423259,40.423722,359.73,60.0,19.0,2.0
CCA1218,B738,6211.0,202508012325,202508020120,202508012325,202508020053,ZLIC,202508012339.0,2025-08-02 00:55:00,116.419167,40.423611,339.0,57.0,16.0,2.0
CCA1222,B38M,6203.0,202508011940,202508012215,202508011940,202508012130,ZLLL,202508011957.0,2025-08-01 21:31:00,116.430931,40.423417,360.0,60.0,19.0,2.0
CCA1224,B38M,4004.0,202508011530,202508011755,202508011530,202508011718,ZLXY,202508011537.0,2025-08-01 17:10:00,116.403097,40.423944,379.95,61.0,22.0,2.0
CCA1228,AJ27,6213.0,202508011915,202508012115,202508011915,202508012044,ZLIC,202508011944.0,2025-08-01 20:59:00,116.378931,40.424236,360.0,60.0,18.0,2.0
CCA1238,B38M,6227.0,202508011030,202508011325,202508011030,202508011302,ZWHM,202508011028.0,2025-08-01 12:45:00,116.36,40.424444,360.0,60.0,20.0,2.0
CCA124,A321,4174.0,202508011205,202508011410,202508011205,202508011338,RKSI,202508011243.0,2025-08-01 13:50:00,117.910556,38.640278,539.0,60.0,27.0,4.0
CCA1242,B38M,7423.0,202508012025,202508020010,202508012025,202508012346,ZWAT,202508012037.0,2025-08-01 23:43:00,116.399722,40.423889,360.0,60.0,21.0,2.0
CCA1246,B38M,2341.0,202508011915,202508020005,202508011915,202508012325,ZWTN,202508011939.0,2025-08-01 23:38:00,116.465401,40.423138,359.05,61.0,22.0,2.0
CCA1248,A21N,7052.0,202508011055,202508011355,202508011055,202508011325,ZLDH,202508011100.0,2025-08-01 13:18:00,116.505819,40.422583,360.0,60.0,17.0,2.0
CCA1250,B38M,6230.0,202508012015,202508020120,202508012015,202508020029,ZWSH,202508012041.0,2025-08-02 00:41:00,116.349097,40.424542,360.0,60.0,17.0,2.0
CCA1252,B77W,2336.0,202508011325,202508011715,202508011325,202508011626,ZWWW,202508011343.0,2025-08-01 16:26:00,116.446316,40.423415,360.08,61.0,19.0,2.0
CCA1254,B77W,7427.0,202508011655,202508012100,202508011820,202508012119,ZWWW,202508011840.0,2025-08-01 21:28:00,116.475,40.422778,360.0,62.0,17.0,2.0
CCA1256,B38M,7421.0,202508011610,202508012020,202508011610,202508011950,ZWYN,202508011609.0,2025-08-01 19:38:00,116.442981,40.423389,360.0,60.0,19.0,2.0
CCA1258,A20N,6227.0,202508011310,202508011710,202508011310,202508011631,ZWKL,202508011311.0,2025-08-01 16:17:00,116.411981,40.423676,360.33,60.0,19.0,2.0
CCA126,A321,4157.0,202508011650,202508011900,202508011755,202508011927,RKSI,202508011807.0,2025-08-01 19:10:00,117.947778,38.63,539.0,60.0,26.0,4.0
